ID	numLeft	bias	bShift	bPeriod	bAmp	birth	death	#catIn	catIn
0	5	1.5484	2826254.7685	200000.0	0.0	0	3111774	2	23 52 
1	11	0.4252	1027614.749	200000.0	0.0	0	365507	1	43 
2	5	1.0818	631905.9784	200000.0	0.0	2720495	9999999	3	12 5 13 
3	7	1.0723	2387904.4562	200000.0	0.0	0	9999999	2	50 44 
4	9	1.4132	5194587.7591	200000.0	0.0	3490059	9999999	2	59 17 
5	5	1.1742	708392.8921	200000.0	0.0	0	9999999	3	15 36 51 
6	9	0.6075	5572042.0503	200000.0	0.0	0	9999999	4	34 39 4 28 
7	13	1.5179	3245076.2144	200000.0	0.0	1218802	2502361	1	38 
8	6	1.4442	516258.1551	200000.0	0.0	2695555	9999999	3	57 10 25 
9	9	1.3911	3964888.1999	200000.0	0.0	0	9999999	1	21 
10	6	0.8057	5471365.8239	200000.0	0.0	2893179	3797401	4	33 40 10 28 
11	15	1.5574	3784691.46	200000.0	0.0	0	9999999	3	12 58 13 
12	6	1.0045	712395.9581	200000.0	0.0	4484307	4488362	1	23 
13	5	1.5962	2291598.4686	200000.0	0.0	2497363	9999999	3	33 0 44 
14	7	0.9394	1114764.3403	200000.0	0.0	0	9999999	2	50 31 
15	13	1.4714	598369.0915	200000.0	0.0	3223779	9999999	1	46 
16	8	1.2971	2796149.3736	200000.0	0.0	0	9999999	2	1 11 
17	5	0.4353	2775807.9847	200000.0	0.0	3049759	9999999	1	4 
18	5	0.5253	2465463.9239	200000.0	0.0	34893	3835187	1	3 
19	11	1.4881	3052708.2229	200000.0	0.0	1610677	2405669	3	52 35 25 
20	9	1.4502	2987325.5621	200000.0	0.0	1311152	9999999	1	39 
21	5	0.5985	4700772.4565	200000.0	0.0	0	3380226	2	59 21 
22	15	0.4569	5449217.4397	200000.0	0.0	0	9999999	1	38 
23	9	0.8924	2848374.4546	200000.0	0.0	448568	704466	4	28 55 18 17 
24	14	0.8097	3096235.6068	200000.0	0.0	1123245	2034609	1	11 
25	5	0.7565	3124301.3593	200000.0	0.0	1774070	3911815	3	28 33 4 
26	6	1.1758	3287661.0516	200000.0	0.0	0	4120547	3	15 55 33 
27	8	1.3575	3763537.2004	200000.0	0.0	0	2087592	3	18 20 59 
28	12	0.8214	750366.5516	200000.0	0.0	1501725	2092379	2	45 8 
29	8	0.5834	3061140.0885	200000.0	0.0	0	9999999	1	21 
30	8	1.0084	2049154.7502	200000.0	0.0	0	9999999	4	32 14 21 0 
31	12	1.3952	5001425.9561	200000.0	0.0	1712882	2157211	1	46 
32	11	0.9684	2499224.0655	200000.0	0.0	0	9999999	2	55 29 
33	14	0.4902	3104869.8843	200000.0	0.0	0	1702271	4	8 6 37 43 
34	12	0.6886	373041.476	200000.0	0.0	0	9999999	1	15 
35	9	0.8704	2037868.4257	200000.0	0.0	0	503238	3	49 51 47 
36	13	0.6648	5559214.1126	200000.0	0.0	1738927	9999999	3	33 6 22 
37	15	1.1347	2353458.8483	200000.0	0.0	0	9999999	3	28 16 48 
38	14	0.4171	5533806.1053	200000.0	0.0	2278891	2794688	4	46 18 7 48 
39	15	0.7197	4030302.1947	200000.0	0.0	0	9999999	4	15 53 31 44 
40	12	1.0217	779548.2916	200000.0	0.0	0	2478002	2	0 12 
41	12	1.4452	5341637.8894	200000.0	0.0	3713090	9999999	3	11 12 23 
42	13	0.4161	3672627.5505	200000.0	0.0	1024018	9999999	1	44 
43	12	1.5727	5121228.8589	200000.0	0.0	4051901	9999999	4	43 39 40 3 
44	5	0.7388	2103205.4392	200000.0	0.0	471977	3294261	3	20 46 16 
45	14	0.7536	4478057.7434	200000.0	0.0	0	9999999	2	22 38 
46	10	1.313	5423810.7222	200000.0	0.0	2820329	9999999	2	9 24 
47	12	1.1763	3698283.2686	200000.0	0.0	1132444	9999999	2	7 18 
48	8	0.4302	3336684.5392	200000.0	0.0	0	9999999	1	10 
49	9	1.5346	2958620.6339	200000.0	0.0	825929	2507062	4	48 15 13 22 
50	9	0.4792	3568072.028	200000.0	0.0	3867110	4196612	1	19 
51	9	1.258	4081006.135	200000.0	0.0	0	9999999	3	7 47 56 
52	5	1.5639	1514647.9943	200000.0	0.0	1862044	9999999	3	16 35 54 
53	5	1.1838	88275.686	200000.0	0.0	0	9999999	3	13 0 9 
54	13	1.5364	2183215.9025	200000.0	0.0	1591185	9999999	1	49 
55	15	0.4311	4071878.1952	200000.0	0.0	0	9999999	1	20 
56	12	1.2599	794638.4011	200000.0	0.0	341854	888937	2	20 16 
57	10	1.2427	5965621.1893	200000.0	0.0	930586	9999999	2	56 40 
58	11	0.4577	1292522.8501	200000.0	0.0	0	313142	2	36 20 
59	5	0.5098	4352115.0002	200000.0	0.0	1479939	9999999	3	47 31 10 
60	6	0.4722	239827.0308	200000.0	0.0	1499188	2624212	2	38 16 
61	12	0.8609	857620.9564	200000.0	0.0	0	330910	4	51 14 34 50 
62	14	1.4709	4107707.9593	200000.0	0.0	1790132	9999999	2	53 40 
63	8	0.8365	4499640.0185	200000.0	0.0	2500290	9999999	4	21 13 39 3 
64	7	0.4765	1282776.1409	200000.0	0.0	63597	3477574	1	2 
65	10	0.6261	5727756.1629	200000.0	0.0	295681	9999999	3	11 10 41 
66	8	0.8195	2642760.5426	200000.0	0.0	0	4421843	2	30 16 
67	14	0.5644	5891707.4887	200000.0	0.0	345909	545694	3	2 13 48 
68	15	1.5378	4338828.5909	200000.0	0.0	3129147	9999999	3	50 47 3 
69	9	1.2372	4635412.0332	200000.0	0.0	1735957	3053419	3	16 38 43 
70	6	1.5137	1419244.643	200000.0	0.0	0	9999999	4	12 45 3 23 
71	9	0.8874	1956345.3166	200000.0	0.0	2621645	9999999	2	2 15 
72	10	0.6141	311360.4264	200000.0	0.0	0	3684483	4	6 2 1 52 
73	10	0.5586	1925244.1019	200000.0	0.0	938328	9999999	4	10 43 44 21 
74	15	0.8622	5028783.016	200000.0	0.0	2528305	9999999	2	13 18 
75	15	0.857	3823009.1685	200000.0	0.0	0	2788869	4	48 25 14 29 
76	15	1.0083	905307.7864	200000.0	0.0	744745	9999999	4	57 17 47 24 
77	6	0.7734	4417198.5417	200000.0	0.0	0	379652	1	19 
78	6	0.7436	3998471.2147	200000.0	0.0	1425322	9999999	4	40 11 43 54 
