CatID	bias	bAmp	bPeriod	bShift	#sitesIn	sitesIn
0 	0.812	0.7793	366180.7907	6012924.6938	14	13 30 40 53 121 180 217 228 231 239 251 260 268 298 
1 	1.0835	0.3325	490518.1962	4238525.0685	8	16 72 79 118 121 189 192 294 
2 	1.4501	0.6182	378591.8919	6634796.2359	8	64 67 71 72 144 170 205 285 
3 	1.1612	0.4459	283292.936	3427601.6379	14	18 43 63 68 70 101 117 137 158 164 188 235 236 255 
4 	1.2588	0.3993	408372.8938	8612575.8337	11	6 17 25 107 135 138 188 196 227 248 283 
5 	0.8884	0.6275	215305.0001	7748027.8653	9	2 89 109 133 157 212 237 243 258 
6 	1.1533	0.6673	495426.5056	3147072.6162	11	33 36 72 87 100 105 138 199 288 291 297 
7 	0.7145	0.4353	379570.5308	1590084.6051	11	38 47 51 94 123 125 129 187 211 257 296 
8 	1.4756	0.4892	402486.2532	3653457.8261	13	28 33 115 158 171 208 252 254 255 278 285 290 298 
9 	1.0251	0.6084	214310.4915	674055.8964	6	46 53 119 194 198 276 
10 	1.1598	0.708	491171.552	9296601.3937	16	8 10 48 59 65 73 88 92 136 149 152 180 185 225 238 250 
11 	0.5571	0.5347	455060.24	9939583.6641	20	16 24 41 65 78 112 116 130 158 169 182 185 212 217 219 226 270 272 287 292 
12 	0.7651	0.5134	488021.4488	9238367.9993	14	2 11 40 41 70 99 140 146 193 219 229 232 244 267 
13 	1.0322	0.5084	200968.1354	1997249.5435	14	2 11 49 53 63 67 74 131 142 156 214 241 277 286 
14 	1.2274	0.475	411675.8217	4752626.8339	11	30 61 75 92 98 143 163 233 238 255 287 
15 	1.5472	0.5323	348518.0742	3508185.3449	14	5 26 34 39 49 71 105 118 141 147 164 226 264 282 
16 	1.5078	0.7825	428647.6684	5454945.1812	19	37 44 52 56 60 66 69 84 86 95 96 101 118 139 146 152 184 266 278 
17 	0.965	0.3248	439954.8404	1109574.3904	8	4 23 76 80 131 183 241 252 
18 	1.2466	0.523	371040.1722	895205.6604	6	23 27 38 47 74 81 
19 	1.4694	0.6065	442790.5651	135711.2391	12	50 77 113 136 159 171 184 229 270 273 279 282 
20 	1.045	0.7634	352587.5591	854305.7266	16	27 44 55 56 58 95 96 102 150 155 162 164 289 292 295 297 
21 	1.2759	0.6291	248560.7231	124384.5908	13	9 21 29 30 63 73 102 105 138 176 211 236 250 
22 	1.5873	0.3236	366082.7846	4771113.4512	5	36 45 49 108 172 
23 	0.5893	0.4821	407680.2345	5643973.1928	12	0 12 41 70 124 144 151 161 180 251 266 297 
24 	1.1991	0.3315	256202.7292	9922045.5617	13	46 76 104 123 152 155 202 213 220 228 249 264 289 
25 	1.618	0.6085	358583.9829	9493836.2874	11	8 19 75 123 168 201 210 212 216 239 247 
26 	1.6368	0.5671	346621.3834	8120942.4075	9	89 90 94 109 178 203 228 250 263 
27 	1.577	0.3222	495647.1897	5954093.7539	10	101 115 152 156 176 193 208 247 275 290 
28 	0.9889	0.6839	432843.5288	4857952.8331	18	6 10 23 25 37 93 95 99 103 110 144 151 165 171 172 196 254 299 
29 	1.333	0.7446	435555.5933	3094237.9592	20	32 75 85 99 108 109 135 140 146 154 156 165 175 182 197 198 255 272 274 276 
30 	1.2867	0.5666	245188.6774	2728306.7688	6	66 116 194 196 207 267 
31 	1.0894	0.5413	396282.5208	6765481.0964	12	14 39 59 99 103 147 186 223 232 243 244 249 
32 	1.5805	0.3442	266663.3824	1709290.7548	14	30 81 82 86 161 162 179 209 227 271 277 280 284 290 
33 	1.696	0.6039	208641.6323	1840310.4408	14	10 13 25 26 36 85 109 145 170 181 189 219 229 284 
34 	0.7338	0.6393	473996.6705	3039337.211	10	6 61 110 113 180 186 192 223 229 230 
35 	1.0763	0.384	326094.6519	3534191.6392	8	19 52 91 119 155 221 224 246 
36 	0.5476	0.5612	436859.7883	6068528.2258	12	5 58 85 95 122 134 154 189 268 281 285 297 
37 	1.3379	0.5922	224238.9361	8727220.3363	13	33 82 101 104 133 140 169 194 217 242 259 293 299 
38 	0.505	0.7388	479289.5373	135409.1991	13	7 22 45 60 69 154 183 210 226 235 260 263 283 
39 	0.894	0.3223	353880.2487	2545050.5225	13	6 20 43 63 105 112 148 160 189 191 208 234 247 
40 	1.072	0.4493	211690.6311	7149909.2975	7	10 43 57 62 78 132 148 
41 	1.2496	0.6884	299072.9196	2974644.3824	8	65 89 112 132 153 181 186 253 
42 	0.8977	0.4331	403674.078	7714320.6842	7	103 127 171 190 198 217 295 
43 	0.5637	0.5786	238806.6678	7866046.5451	20	1 33 43 69 73 78 79 94 119 157 172 177 178 196 208 216 219 262 264 284 
44 	0.8227	0.4437	273626.3718	1100270.9894	16	3 13 39 42 73 106 115 173 181 213 216 218 227 245 292 298 
45 	0.7979	0.6425	414524.0772	6660009.0343	8	28 70 83 111 264 270 277 289 
46 	1.249	0.5645	245591.0036	744893.838	19	15 31 38 44 84 106 113 124 167 170 210 211 212 227 231 246 249 291 299 
47 	1.404	0.3832	488313.69	8905152.9468	14	35 51 59 68 76 83 134 169 201 203 213 228 230 262 
48 	0.8833	0.5274	407135.3032	4878030.6581	15	37 38 49 67 75 81 128 137 161 186 195 222 270 273 291 
49 	0.8427	0.3817	262953.0025	3878442.7039	10	35 54 81 92 145 193 225 239 257 286 
