ID	IntFreq	birth	death	freq	bias	bShift	bPeriod	bAmp	#catIn	catIn
0	5296	0	3111774	0.0058	1.5124	5603920.7345	200000.0	0.0	2	23 52 
1	610	0	365507	6.0E-4	0.9463	973354.7485	200000.0	0.0	1	43 
2	1143	2720495	9999999	0.0012	1.4069	4891642.6348	200000.0	0.0	3	12 5 13 
3	5683	0	9999999	0.0063	0.8099	3268830.6865	200000.0	0.0	2	50 44 
4	0	3490059	9999999	0.0	1.0123	4108608.3462	200000.0	0.0	2	59 17 
5	5702	0	9999999	0.0063	0.9825	962250.4253	200000.0	0.0	3	15 36 51 
6	5784	0	9999999	0.0064	1.1674	892607.7653	200000.0	0.0	4	34 39 4 28 
7	2139	1218802	2502361	0.0023	1.5407	5314923.4555	200000.0	0.0	1	38 
8	1167	2695555	9999999	0.0012	0.7761	4282209.7824	200000.0	0.0	3	57 10 25 
9	5682	0	9999999	0.0063	1.0783	5648848.2885	200000.0	0.0	1	21 
10	870	2893179	3797401	9.0E-4	0.7197	1252891.623	200000.0	0.0	4	33 40 10 28 
11	5716	0	9999999	0.0063	1.0733	963858.5632	200000.0	0.0	3	12 58 13 
12	0	4484307	4488362	0.0	1.1931	3164846.5211	200000.0	0.0	1	23 
13	1534	2497363	9999999	0.0017	0.8363	3603509.8875	200000.0	0.0	3	33 0 44 
14	5642	0	9999999	0.0062	1.5298	5039123.6161	200000.0	0.0	2	50 31 
15	346	3223779	9999999	3.0E-4	1.1662	132676.5357	200000.0	0.0	1	46 
16	5676	0	9999999	0.0063	0.8902	3671247.567	200000.0	0.0	2	1 11 
17	606	3049759	9999999	6.0E-4	1.2894	3316114.8938	200000.0	0.0	1	4 
18	5502	34893	3835187	0.0061	0.5819	4210314.3465	200000.0	0.0	1	3 
19	1281	1610677	2405669	0.0014	0.8677	4655568.9243	200000.0	0.0	3	52 35 25 
20	3630	1311152	9999999	0.0040	1.0899	3489579.3702	200000.0	0.0	1	39 
21	5543	0	3380226	0.0061	0.5479	4969741.4079	200000.0	0.0	2	59 21 
22	5687	0	9999999	0.0063	1.4547	2963980.8324	200000.0	0.0	1	38 
23	431	448568	704466	4.0E-4	0.9452	4865827.2686	200000.0	0.0	4	28 55 18 17 
24	1532	1123245	2034609	0.0017	1.1358	3281268.0513	200000.0	0.0	1	11 
25	2727	1774070	3911815	0.0030	0.8275	5705380.8809	200000.0	0.0	3	28 33 4 
26	5752	0	4120547	0.0063	0.6054	2160072.4409	200000.0	0.0	3	15 55 33 
27	3478	0	2087592	0.0038	1.5831	3693116.0191	200000.0	0.0	3	18 20 59 
28	959	1501725	2092379	0.0010	0.5145	2142179.9695	200000.0	0.0	2	45 8 
29	5629	0	9999999	0.0062	1.034	4902457.7309	200000.0	0.0	1	21 
30	5583	0	9999999	0.0062	0.4447	5568171.239	200000.0	0.0	4	32 14 21 0 
31	765	1712882	2157211	8.0E-4	1.375	497684.8227	200000.0	0.0	1	46 
32	5711	0	9999999	0.0063	0.8906	5447415.0215	200000.0	0.0	2	55 29 
33	2863	0	1702271	0.0031	1.2894	2941750.5859	200000.0	0.0	4	8 6 37 43 
34	5677	0	9999999	0.0063	0.4215	496795.5067	200000.0	0.0	1	15 
35	880	0	503238	9.0E-4	1.3869	4751995.3736	200000.0	0.0	3	49 51 47 
36	2794	1738927	9999999	0.0031	0.4409	5882532.5408	200000.0	0.0	3	33 6 22 
37	5784	0	9999999	0.0064	1.3787	715589.9152	200000.0	0.0	3	28 16 48 
38	853	2278891	2794688	9.0E-4	1.3336	371736.9654	200000.0	0.0	4	46 18 7 48 
39	5619	0	9999999	0.0062	0.9913	2573170.9142	200000.0	0.0	4	15 53 31 44 
40	4122	0	2478002	0.0045	1.2269	5320732.7072	200000.0	0.0	2	0 12 
41	0	3713090	9999999	0.0	0.5979	4077363.9796	200000.0	0.0	3	11 12 23 
42	3979	1024018	9999999	0.0044	1.2965	1577259.4936	200000.0	0.0	1	44 
43	0	4051901	9999999	0.0	1.121	5938638.7745	200000.0	0.0	4	43 39 40 3 
44	4682	471977	3294261	0.0052	0.4925	4757218.8619	200000.0	0.0	3	20 46 16 
45	5783	0	9999999	0.0064	1.3182	3391002.094	200000.0	0.0	2	22 38 
46	972	2820329	9999999	0.0010	0.4785	4361893.555	200000.0	0.0	2	9 24 
47	3662	1132444	9999999	0.0040	0.6086	1249591.9937	200000.0	0.0	2	7 18 
48	5663	0	9999999	0.0062	0.9738	3789224.9377	200000.0	0.0	1	10 
49	2819	825929	2507062	0.0031	0.7638	1739556.7984	200000.0	0.0	4	48 15 13 22 
50	0	3867110	4196612	0.0	0.8854	845872.6124	200000.0	0.0	1	19 
51	5729	0	9999999	0.0063	0.7337	4997254.6018	200000.0	0.0	3	7 47 56 
52	2683	1862044	9999999	0.0029	1.343	3268057.7501	200000.0	0.0	3	16 35 54 
53	5697	0	9999999	0.0063	0.7231	1874433.5799	200000.0	0.0	3	13 0 9 
54	2992	1591185	9999999	0.0033	1.1305	4567390.4029	200000.0	0.0	1	49 
55	5726	0	9999999	0.0063	0.9651	4172729.2301	200000.0	0.0	1	20 
56	919	341854	888937	0.0010	0.4161	2584397.0005	200000.0	0.0	2	20 16 
57	4117	930586	9999999	0.0045	0.6993	3374204.5629	200000.0	0.0	2	56 40 
58	530	0	313142	5.0E-4	1.3896	93221.5419	200000.0	0.0	2	36 20 
59	3229	1479939	9999999	0.0035	0.8429	3083236.7681	200000.0	0.0	3	47 31 10 
60	1840	1499188	2624212	0.0020	1.3924	1590673.5003	200000.0	0.0	2	38 16 
61	530	0	330910	5.0E-4	0.8444	3321674.4398	200000.0	0.0	4	51 14 34 50 
62	2659	1790132	9999999	0.0029	0.4712	5772823.5589	200000.0	0.0	2	53 40 
63	1537	2500290	9999999	0.0017	0.8923	4403491.1818	200000.0	0.0	4	21 13 39 3 
